Date,ASX200,BOVESPA,CAC40,DAX,DOWJONES,EUROSTOXX50,FTSE100,HANGSENG,JSE,KOSPI50,MIB,NASDAQ100,NIKKEI,OBX,SENSEX,SMI,SP500,TOPIX,TSX300
1999-12-31,,,,,11497.12,4904.46,,,8555.7889,,,3707.83,,178.48,,,1469.25,,8413.75
2000-01-03,,16930,5917.37,6750.76,11357.51,4849.22,,17369.63,,,41226.4,3790.55,,181.6,5375.11,,1455.22,,
2000-01-04,3093.7,15851,5672.02,6586.95,10997.94,4657.83,6665.86,17072.82,8535.37292,,40313.79,3546.2,19002.86,176.24,5491.01,7268.1,1399.42,1717.47,8202.6
2000-01-05,3018.7,16245,5479.7,6502.07,11122.66,4541.75,6535.9,15846.72,8445.74179,,39452.41,3507.31,18542.55,171.55,5357,7181.3,1402.11,1651.84,8119.42
2000-01-06,2999.3,16107,5450.11,6474.92,11253.27,4500.69,6447.24,15153.23,8458.19056,,38835.05,3340.81,18168.27,171.99,5421.53,7280.6,1403.45,1609.59,8114.24
2000-01-07,3023.4,16309,5539.61,6780.96,11522.56,4648.27,6504.75,15405.63,8672.80731,,40194.22,3529.6,18193.41,174.45,5414.48,7448,1441.47,1599.01,8429.42
2000-01-10,3084,17022.13,5646.12,6925.52,11572.2,4714.03,6607.71,15848.15,8960.12486,,39711.07,3717.41,,178.79,5518.39,7452.8,1457.6,,8602.5
2000-01-11,3160.8,16572.72,5613.9,6891.25,11511.09,4671.5,6518.94,15862.1,8984.0265,,39869.68,3544.35,18850.92,177.21,5296.3,7420.1,1438.56,1678.82,8442.61
2000-01-12,3088.4,16616.87,5582.5,6912.81,11551.11,4649.3,6532.84,15714.2,8935.22733,,40289.38,3478.14,18677.42,173.53,5491.2,7440.2,1432.25,1656.92,8359.96
2000-01-13,3078.9,17298.07,5633.24,6955.98,11582.44,4688.35,6531.46,15633.96,8928.75397,,40499.24,3612.08,18833.29,176.93,5444.82,7436.9,1449.68,1657.97,8417.94
2000-01-14,3115.4,17657.95,5787.44,7173.22,11722.98,4829.36,6658.18,15542.23,9006.43428,,41587.55,3704.74,18956.55,177.75,5471.27,7513.9,1465.15,1648.24,8357.46
2000-01-17,3121.5,18053.22,5842.78,7258.9,,4884.5,6669.46,15574.56,9212.08792,,41546.06,,19437.23,177.31,5404.07,7507,,1681.97,8479.27
2000-01-18,3128,17903.23,5672.95,7072.12,11560.73,4761,6504.57,15789.2,9161.29695,,41109.28,3757.78,19196.57,176.8,5464.51,7384.1,1455.14,1665.84,8589.65
2000-01-19,3080.5,17470.24,5649.46,7091.04,11489.37,4768.37,6445.45,15275.34,9136.89736,,41436.26,3790.89,18897.75,176.26,5478.24,7336.8,1455.9,1631.28,8635.07
2000-01-20,3112.5,17176.73,5709.74,7112.66,11351.3,4778.71,6348.73,15215.31,9146.85638,,41690.03,3841.74,19008.01,176.53,5355.8,7251.2,1445.57,1633.11,8682.93
2000-01-21,3073.4,17034.21,5681.32,6992.75,11251.72,4719.29,6346.31,15108.41,9036.31132,,41702.23,3849.96,18878.09,176.56,5423.05,7236,1441.36,1627.14,8634.91
2000-01-24,3069.7,16971.73,5690.86,6931.99,11008.17,4718.76,6379.83,15167.55,9004.44248,,42012.13,3660.96,19056.71,178.5,5458.06,7127.9,1401.53,1647.96,8458.75
2000-01-25,3048.7,,5597.5,6809.64,11029.89,4653.61,6274.1,15103.04,8764.92819,,41165.4,3759.11,18895.53,174.6,5367.79,6954.8,1410.03,1632.57,8505.48
2000-01-26,,17105.26,5646.32,6969.37,11032.99,4721.03,6375.6,15427.72,8646.41592,,41360.61,3621.21,19111.19,175.78,,6963.6,1404.09,1664.09,8582.57
2000-01-27,3051.4,17081.16,5688.35,7126.13,11028.03,4786.82,6440.97,15917.81,8634.46511,,41938.93,3593.15,19209.72,175.76,5369.1,7113.4,1398.56,1685.9,8645.84
2000-01-28,3064.6,16734.39,5731.05,7066.6,10738.88,4781.94,6375.61,16185.94,8511.47129,,41853.52,3446.13,19434.78,174.7,5335.8,7029.6,1360.16,1702.61,8390.4
2000-01-31,3080.2,16388.27,5659.81,6835.6,10940.54,4684.48,6268.54,15532.34,8445.24384,,41463.1,3570.05,19539.7,169.28,5205.29,6894.7,1394.46,1707.96,8481.11
2000-02-01,3072.3,16522.2,5773.42,7050.46,11041.06,4792.04,6290.93,15653.86,8734.5532,,42402.56,3701.78,19423.38,168.89,5215.54,7025.2,1409.28,1697.15,8535.26
2000-02-02,3110.3,16868.46,5946.86,7171.95,11003.21,4902.12,6302.83,15789.82,8715.13312,,42993.07,3724.46,19578.91,171.51,5304.92,7097.4,1409.12,1711.86,8769.5
2000-02-03,3142.4,17457.12,6149.67,7354.26,11013.45,5046.12,6324.33,15968.12,8765.92409,,43888.61,3851.16,19786.42,173.73,5340.19,7182.9,1424.97,1729.48,8894.39
2000-02-04,3118.7,17932.47,6275.72,7444.61,10963.81,5119.79,6184.98,,8665.836,,44091.14,3874.37,19763.13,174.11,5313.59,7148.7,1424.37,1741.22,9209.2
2000-02-07,3136.9,18125.6,6203.58,7296.32,10905.79,5041.08,6118.64,,8832.64949,,43730,3933.34,19945.43,173.71,5474,7131.3,1424.24,1754.78,9155.95
2000-02-08,3134.6,18685.58,6297.66,7549.88,10957.61,5176.17,6285.81,16228.73,8866.01218,,45150.17,4062.77,19868.88,175.63,5610.56,7130.9,1441.72,1737.55,9300.77
